family,dim,k,method,trial,k_hat,f1
gaussian,2,0,ecf_cos,98,0,1.0
gaussian,2,0,midast_ks,98,0,1.0
gaussian,2,0,midast_cvm,98,0,1.0
gaussian,2,0,edivisive,98,0,1.0
gaussian,2,0,ecf_cos,99,0,1.0
gaussian,2,0,midast_ks,99,0,1.0
gaussian,2,0,midast_cvm,99,0,1.0
gaussian,2,0,edivisive,99,0,1.0
gaussian,2,1,ecf_cos,0,1,1.0
gaussian,2,1,midast_ks,0,1,1.0
gaussian,2,1,midast_cvm,0,1,1.0
gaussian,2,1,edivisive,0,1,1.0
gaussian,2,1,ecf_cos,1,1,1.0
gaussian,2,1,midast_ks,1,3,0.5
gaussian,2,1,midast_cvm,1,2,0.6666666666666666
gaussian,2,1,edivisive,1,1,1.0
gaussian,2,1,ecf_cos,2,1,1.0
gaussian,2,1,midast_ks,2,1,1.0
gaussian,2,1,midast_cvm,2,1,1.0
gaussian,2,1,edivisive,2,1,1.0
gaussian,2,1,ecf_cos,3,1,1.0
gaussian,2,1,midast_ks,3,2,0.0
gaussian,2,1,midast_cvm,3,2,0.6666666666666666
gaussian,2,1,edivisive,3,1,1.0
gaussian,2,1,ecf_cos,4,1,1.0
gaussian,2,1,midast_ks,4,2,0.6666666666666666
gaussian,2,1,midast_cvm,4,2,0.6666666666666666
gaussian,2,1,edivisive,4,1,1.0
gaussian,2,1,ecf_cos,5,1,1.0
gaussian,2,1,midast_ks,5,3,0.5
gaussian,2,1,midast_cvm,5,3,0.5
gaussian,2,1,edivisive,5,1,1.0
gaussian,2,1,ecf_cos,6,1,1.0
gaussian,2,1,midast_ks,6,2,0.6666666666666666
gaussian,2,1,midast_cvm,6,1,1.0
gaussian,2,1,edivisive,6,1,1.0
gaussian,2,1,ecf_cos,7,1,1.0
gaussian,2,1,midast_ks,7,1,1.0
gaussian,2,1,midast_cvm,7,1,1.0
gaussian,2,1,edivisive,7,1,1.0
gaussian,2,1,ecf_cos,8,1,1.0
gaussian,2,1,midast_ks,8,1,1.0
gaussian,2,1,midast_cvm,8,2,0.6666666666666666
gaussian,2,1,edivisive,8,1,1.0
gaussian,2,1,ecf_cos,9,1,1.0
gaussian,2,1,midast_ks,9,1,1.0
gaussian,2,1,midast_cvm,9,2,0.6666666666666666
gaussian,2,1,edivisive,9,1,1.0
gaussian,2,1,ecf_cos,10,1,1.0
gaussian,2,1,midast_ks,10,2,0.6666666666666666
gaussian,2,1,midast_cvm,10,1,1.0
gaussian,2,1,edivisive,10,1,1.0
gaussian,2,1,ecf_cos,11,1,1.0
gaussian,2,1,midast_ks,11,1,1.0
gaussian,2,1,midast_cvm,11,1,1.0
gaussian,2,1,edivisive,11,1,1.0
gaussian,2,1,ecf_cos,12,1,1.0
gaussian,2,1,midast_ks,12,1,1.0
gaussian,2,1,midast_cvm,12,2,0.6666666666666666
gaussian,2,1,edivisive,12,1,1.0
gaussian,2,1,ecf_cos,13,1,1.0
gaussian,2,1,midast_ks,13,1,1.0
gaussian,2,1,midast_cvm,13,1,1.0
gaussian,2,1,edivisive,13,1,1.0
gaussian,2,1,ecf_cos,14,1,1.0
gaussian,2,1,midast_ks,14,1,1.0
gaussian,2,1,midast_cvm,14,2,0.6666666666666666
gaussian,2,1,edivisive,14,1,1.0
gaussian,2,1,ecf_cos,15,3,0.5
gaussian,2,1,midast_ks,15,2,0.0
gaussian,2,1,midast_cvm,15,2,0.6666666666666666
gaussian,2,1,edivisive,15,1,1.0
gaussian,2,1,ecf_cos,16,1,1.0
gaussian,2,1,midast_ks,16,1,0.0
gaussian,2,1,midast_cvm,16,1,1.0
gaussian,2,1,edivisive,16,1,1.0
gaussian,2,1,ecf_cos,17,1,1.0
gaussian,2,1,midast_ks,17,4,0.0
gaussian,2,1,midast_cvm,17,3,0.5
gaussian,2,1,edivisive,17,1,1.0
gaussian,2,1,ecf_cos,18,1,1.0
gaussian,2,1,midast_ks,18,1,0.0
gaussian,2,1,midast_cvm,18,1,1.0
gaussian,2,1,edivisive,18,1,1.0
gaussian,2,1,ecf_cos,19,1,1.0
gaussian,2,1,midast_ks,19,2,0.0
gaussian,2,1,midast_cvm,19,2,0.6666666666666666
gaussian,2,1,edivisive,19,1,1.0
gaussian,2,1,ecf_cos,20,1,1.0
gaussian,2,1,midast_ks,20,2,0.6666666666666666
gaussian,2,1,midast_cvm,20,2,0.6666666666666666
gaussian,2,1,edivisive,20,1,1.0
gaussian,2,1,ecf_cos,21,1,1.0
gaussian,2,1,midast_ks,21,2,0.6666666666666666
gaussian,2,1,midast_cvm,21,2,0.6666666666666666
gaussian,2,1,edivisive,21,1,1.0
gaussian,2,1,ecf_cos,22,1,1.0
gaussian,2,1,midast_ks,22,1,1.0
gaussian,2,1,midast_cvm,22,2,0.6666666666666666
gaussian,2,1,edivisive,22,1,1.0
gaussian,2,1,ecf_cos,23,1,1.0
gaussian,2,1,midast_ks,23,3,0.5
gaussian,2,1,midast_cvm,23,2,0.6666666666666666
gaussian,2,1,edivisive,23,1,1.0
gaussian,2,1,ecf_cos,24,2,0.6666666666666666
gaussian,2,1,midast_ks,24,2,0.0
gaussian,2,1,midast_cvm,24,3,0.5
gaussian,2,1,edivisive,24,1,1.0
gaussian,2,1,ecf_cos,25,1,1.0
gaussian,2,1,midast_ks,25,2,0.0
gaussian,2,1,midast_cvm,25,1,1.0
gaussian,2,1,edivisive,25,1,1.0
gaussian,2,1,ecf_cos,26,1,1.0
gaussian,2,1,midast_ks,26,3,0.5
gaussian,2,1,midast_cvm,26,3,0.5
gaussian,2,1,edivisive,26,1,1.0
gaussian,2,1,ecf_cos,27,1,1.0
gaussian,2,1,midast_ks,27,1,1.0
gaussian,2,1,midast_cvm,27,1,1.0
gaussian,2,1,edivisive,27,1,1.0
gaussian,2,1,ecf_cos,28,1,1.0
gaussian,2,1,midast_ks,28,1,1.0
gaussian,2,1,midast_cvm,28,1,1.0
gaussian,2,1,edivisive,28,1,1.0
gaussian,2,1,ecf_cos,29,1,1.0
gaussian,2,1,midast_ks,29,1,1.0
gaussian,2,1,midast_cvm,29,1,1.0
gaussian,2,1,edivisive,29,1,1.0
gaussian,2,1,ecf_cos,30,2,0.6666666666666666
gaussian,2,1,midast_ks,30,2,0.6666666666666666
gaussian,2,1,midast_cvm,30,3,0.5
gaussian,2,1,edivisive,30,1,1.0
